Input,Base Model Output,Fine-tuned Output,Match
Very nice unibody construction.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""unibody construction"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Unibody construction"",""polarity"":""positive""}]}",False
Very disappointed with Apple.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Apple"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple"",""polarity"":""negative""}]}",False
"This Macbook Pro is fast, powerful, and runs super quiet and cool.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Macbook Pro"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""power","{""domain"":""electronics"",""aspects"":[{""term"":""Macbook Pro"",""polarity"":""positive""},{""term"":""Performance"",""polarity"":""positive""},{""term"":""Noise level"",""polarity"":""neutral""}]}",False
"The review below is no longer relevant, Apple has fixed the issue.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Apple"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""issue"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple"",""polarity"":""positive""}]}",False
It's ok but doesn't have a disk drive which I didn't know until after I bought it.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""disk drive"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""disk drive"",""polarity"":""negative""}]}",False
"There is no HDMI receptacle, nor is there an SD card slot located anywhere on the device.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""HDMI receptacle"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""SD card slot"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""HDMI receptacle"",""polarity"":""negative""},{""term"":""SD card slot"",""polarity"":""negative""}]}",False
It really is very light compared to other computers.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Weight"",""polarity"":""positive""}]}",False
It came in brand new and works perfectly.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""new"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""works"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""It"",""polarity"":""positive""}]}",False
This machine is Amazing.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""machine"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Machine"",""polarity"":""positive""}]}",False
"It shouldn't happen like that, I don't have any design app open or anything.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""design app"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Design app"",""polarity"":""negative""}]}",False
MY TRACKPAD IS NOT WORKING.,"```json
{
  ""domain"": ""hardware"",
  ""aspects"": [
    {
      ""term"": ""trackpad"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Trackpad"",""polarity"":""negative""}]}",False
I just hope this expensive laptop doesn't go dead like my friends...it did last him 5 good years before it bit the dust.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""laptop"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""expensive"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""negative""}]}",False
Considering another computer should be out of the question,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""negative""}]}",False
"It looks and feels solid, with a flawless finish.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""solid"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""flawless"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Looks"",""polarity"":""positive""},{""term"":""Feel"",""polarity"":""positive""},{""term"":""Finish"",""polarity"":""positive""}]}",False
Its worth every Penny.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""worth"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""worth every Penny"",""polarity"":""positive""}]}",False
Price was higher when purchased on MAC when compared to price showing on PC when I bought this product.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""price"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Price"",""polarity"":""negative""}]}",False
This was a great deal for a decked out MacBook Pro.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""deal"",""polarity"":""positive""},{""term"":""MacBook Pro"",""polarity"":""positive""}]}",False
Then the system would many times not power down without a forced poweroff.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""system"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""powerdown"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""System"",""polarity"":""negative""}]}",False
"Get this instead, you won't be sorry.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Get this instead"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""you won't be sorry"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this"",""polarity"":""positive""}]}",False
The configuration is perfect for my needs.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""configuration"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Configuration"",""polarity"":""positive""}]}",False
and the speakers is the worst ever.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""speakers"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""movies"",""aspects"":[{""term"":""speakers"",""polarity"":""negative""}]}",False
I think it was around 16 hundred bucks last I checked.,"```json
{
    ""domain"": ""general"",
    ""aspects"": [
        {
            ""term"": ""price"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""price"",""polarity"":""neutral""}]}",False
"Its the best, its got the looks, super easy to use and love all you can do with the trackpad!..","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""trackpad"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""looks"",""polarity"":""positive""},{""term"":""easy to use"",""polarity"":""positive""},{""term"":""all you can do with the trackpad"",""polarity"":""positive""}]}",False
"It's fast, quiet, incredibly small and affordable compared to other Mac models.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac models"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""fast"",""polarity"":""positive""},{""term"":""quiet"",""polarity"":""positive""},{""term"":""incredibly small"",""polarity"":""positive""},{""term"":""affordable"",""polarity"":""positive""}]}",False
Web surfuring is smooth and seamless.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""web surfing"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Web surfing"",""polarity"":""positive""}]}",False
It was so exciting for me to unwrapp my new mac.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""mac"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""mac"",""polarity"":""positive""}]}",False
I'm overall pleased with the interface and the portability of this product.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""interface"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""portability"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Interface"",""polarity"":""positive""},{""term"":""Portability"",""polarity"":""positive""}]}",False
so when I had the money to buy one I bought other things instead....a 700 laptop and some extra stuff with it.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""laptop"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""extra stuff"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""negative""}]}",False
"This item is a beautiful piece, it works well, it is easy to carry and handle.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""item"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""beautiful"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""works well"",","{""domain"":""general"",""aspects"":[{""term"":""item"",""polarity"":""positive""},{""term"":""works well"",""polarity"":""positive""},{""term"":""easy to carry and handle"",""polarity"":""positive""}]}",False
See retired recently and decided that she wanted a laptop.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""retired"",""polarity"":""neutral""},{""term"":""laptop"",""polarity"":""neutral""}]}",False
"It was also suffering from hardware keyboard issues, relatively slow performance and shortening battery lifetime.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""hardware keyboard issues"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""relatively slow performance"",
      ""polarity"": ""negative""
    },
    {
      ""term","{""domain"":""electronics"",""aspects"":[{""term"":""Hardware keyboard"",""polarity"":""negative""},{""term"":""Performance"",""polarity"":""negative""},{""term"":""Battery lifetime"",""polarity"":""negative""}]}",False
I'm no regular customer I hate wasting my time with hellos and how can I help you's.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""wasting time"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""hellos"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""","{""domain"":""restaurants"",""aspects"":[{""term"":""hellos"",""polarity"":""negative""},{""term"":""how can I help you's"",""polarity"":""negative""}]}",False
"Runs good and does the job, can't complain about that!","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""runs"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""good"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""does the job","{""domain"":""software"",""aspects"":[{""term"":""Runs"",""polarity"":""positive""}]}",False
It's silent and has a very small footprint on my desk.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""silence"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""footprint"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Silent"",""polarity"":""positive""},{""term"":""Footprint"",""polarity"":""positive""}]}",False
I have nothing to regret from this new product.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""new product"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this new product"",""polarity"":""positive""}]}",False
The exterior is absolutely gorgeous.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""exterior"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Exterior"",""polarity"":""positive""}]}",False
Have one myself and Love it!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""phone"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Love it"",""polarity"":""positive""}]}",False
"It has a very high performance, just for what I needed for.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""performance"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Performance"",""polarity"":""positive""}]}",False
This is especially disheartening when Apple prides itself as the choice of creative professionals.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Apple"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple"",""polarity"":""negative""}]}",False
Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""intel 4000 graphics chipset"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""intel 4000 graphics chipset"",""polarity"":""negative""}]}",False
"Stop living in the stone age and buy a mac, you will not be sorry at all!!","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""mac"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""mac"",""polarity"":""positive""}]}",False
OSX Mountain Lion soon to upgrade to Mavericks.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Mountain Lion"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""Mavericks"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""OSX Mountain Lion"",""polarity"":""neutral""},{""term"":""Mavericks"",""polarity"":""positive""}]}",False
Apple hit a home run here.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Apple"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Apple"",""polarity"":""positive""}]}",False
"I just bought the new MacBook Pro, the 13"" model, and I can't believe Apple keeps making the same mistake with regard to USB ports.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""MacBook Pro"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""USB ports"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""USB ports"",""polarity"":""negative""}]}",False
So glad I have gone this route!!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""route"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this route"",""polarity"":""positive""}]}",False
It wakes in less than a second when I open the lid.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""wakes"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""less than a second"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""wakes up time"",""polarity"":""positive""}]}",False
It is the perfect size and speed for me.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""size"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""speed"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Size"",""polarity"":""positive""},{""term"":""Speed"",""polarity"":""positive""}]}",False
I am so addict to this laptop.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""positive""}]}",False
THE CUSTOMER SERVICE IS TERRIFIC!!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""customer service"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Customer service"",""polarity"":""positive""}]}",False
Trashed it when I spilled a latte on it while writing at a cafe.,"```json
{
  ""domain"": ""restaurants"",
  ""aspects"": [
    {
      ""term"": ""latte"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""restaurants"",""aspects"":[{""term"":""latte"",""polarity"":""negative""}]}",False
"My last laptop was a 17"" ASUS gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, I found myself wanting something smaller and less cumbersome, not to mention that the ASUS had been slowly developing problems ever since I bought it about 4 years ago.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""laptop"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""ASUS"",
            ""polarity"": ""neutral""
        },
        {
            ""term"": ""desktop","{""domain"":""electronics"",""aspects"":[{""term"":""ASUS gaming machine"",""polarity"":""positive""},{""term"":""desktop"",""polarity"":""neutral""},{""term"":""college life"",""polarity"":""neutral""},{""term"":""problems"",""polarity"":""negative""}]}",False
"However, it did not have any scratches, ZERO battery cycle count pretty surprised, and all the hardware seemed to be working perfectly.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""scratches"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""battery cycle count"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""","{""domain"":""electronics"",""aspects"":[{""term"":""Scratches"",""polarity"":""negative""},{""term"":""Battery cycle count"",""polarity"":""negative""},{""term"":""Hardware"",""polarity"":""positive""}]}",False
After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fumbling"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""searching"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""fix","{""domain"":""software"",""aspects"":[{""term"":""OS"",""polarity"":""negative""}]}",False
I couldn't be more pleased.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""pleased"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Overall experience"",""polarity"":""positive""}]}",False
And as for all the fancy finger swipes  I just gave up and attached a mouse.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fancy finger swipes"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""fancy finger swipes"",""polarity"":""negative""}]}",False
"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""big storage"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""nice","{""domain"":""electronics"",""aspects"":[{""term"":""Storage"",""polarity"":""positive""},{""term"":""Screen"",""polarity"":""positive""},{""term"":""Boot time"",""polarity"":""positive""}]}",False
I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my 400 old HP laptop.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""laptop"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""speaker quality"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Mac OS"",""polarity"":""positive""},{""term"":""speaker quality"",""polarity"":""negative""}]}",False
It is much better than the Acer ultrabook I had before.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Acer ultrabook"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""before"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Acer ultrabook"",""polarity"":""negative""},{""term"":""It"",""polarity"":""positive""}]}",False
Shipped very quickly and safely.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""shipped"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""quickly"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""s","{""domain"":""general"",""aspects"":[{""term"":""Shipped"",""polarity"":""positive""}]}",False
I finally own a piece of computing equipment that I don't want to take a baseball bat and destroy.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computing equipment"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computing equipment"",""polarity"":""positive""}]}",False
The thunderbolt port is awesome!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""thunderbolt port"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Thunderbolt port"",""polarity"":""positive""}]}",False
"User friendly, fast and high tech It is amazing!","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""high tech"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""amazing","{""domain"":""electronics"",""aspects"":[{""term"":""User friendly"",""polarity"":""positive""},{""term"":""Fast"",""polarity"":""positive""},{""term"":""High tech"",""polarity"":""positive""}]}",False
The performance is definitely superior to any computer I've ever put my hands on.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Performance"",""polarity"":""positive""}]}",False
It's great for streaming video and other entertainment uses.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""streaming video"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""entertainment uses"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Streaming video"",""polarity"":""positive""},{""term"":""Entertainment uses"",""polarity"":""positive""}]}",False
Apple did a great job.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Apple"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Apple"",""polarity"":""positive""}]}",False
I like the design and its features but there are somethings I think needs to be improved.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""design"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""features"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Design"",""polarity"":""positive""},{""term"":""Features"",""polarity"":""positive""},{""term"":""Needs improvement"",""polarity"":""negative""}]}",False
There were small problems with Mac office.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Mac Office"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Mac office"",""polarity"":""negative""}]}",False
It is extremely fast and very compact.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""speed"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""compactness"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Speed"",""polarity"":""positive""},{""term"":""Compactness"",""polarity"":""positive""}]}",False
I understand I should call Apple Tech Support about any variableswhich is my purpose of writing this con as variables could be a bigger future problem.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""variables"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Apple Tech Support"",""polarity"":""neutral""},{""term"":""variables"",""polarity"":""negative""}]}",False
"I ordered my 2012 mac mini after being disappointed with spec of the new 27"" Imacs.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""mac mini"",
            ""polarity"": ""negative""
        },
        {
            ""term"": ""Imacs"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""spec of the new 27\"" Imacs"",""polarity"":""negative""},{""term"":""2012 mac mini"",""polarity"":""neutral""}]}",False
"It still works and it's extremely user friendly, so I would recommend it for new computer user and also for those who are just looking for a more efficient way to do things","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""works"",""polarity"":""positive""},{""term"":""user friendly"",""polarity"":""positive""}]}",False
"Its fast, easy to use and it looks great.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fast"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""easy to use"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""looks","{""domain"":""software"",""aspects"":[{""term"":""fast"",""polarity"":""positive""},{""term"":""easy to use"",""polarity"":""positive""},{""term"":""looks great"",""polarity"":""positive""}]}",False
but Office can be purchased IF I ever need a laptop again I am for sure purchasing another Toshiba!!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Toshiba"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Office"",""polarity"":""neutral""},{""term"":""Toshiba"",""polarity"":""positive""}]}",False
I haven't tried the one with retina display... Maybe in the future.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""retina display"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Retina display"",""polarity"":""neutral""}]}",False
You can read all about the details of this marvelous computer on wikipedia.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""positive""}]}",False
"Performance is much much better on the Pro, especially if you install an SSD on it.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""performance"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""SSD"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Performance"",""polarity"":""positive""},{""term"":""Pro"",""polarity"":""positive""},{""term"":""SSD"",""polarity"":""neutral""}]}",False
"Note, however, that any existing MagSafe accessories you have will not work with the MagSafe 2 connection.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MagSafe accessories"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""MagSafe 2 connection"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""MagSafe accessories"",""polarity"":""negative""}]}",False
"If you get a lemon I have two thirds of my Macs, you have to send it in for repairs several times before they will replace it, even if they have numerous problems with the same version of their computers.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""lemon"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""Mac"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""repairs","{""domain"":""electronics"",""aspects"":[{""term"":""Macs"",""polarity"":""negative""},{""term"":""repairs"",""polarity"":""negative""}]}",False
"The only thing I dislike is the touchpad, alot of the times its unresponsive and does things I dont want it too, I would recommend using a mouse with it.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""touchpad"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Touchpad"",""polarity"":""negative""}]}",False
"Yeah, it's super expensive.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""price"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Price"",""polarity"":""negative""}]}",False
